,TestGesamt,MeldeDatum,FZHosp,FZICU,FZHospFree,FZICUFree,BundeslandID,Bundesland,Hospitalizations_total,ICU_capacity,ICU_perc
4200,1653636,2021-05-26,8,8,155,27,1,Burgenland,16,35,22.9
4201,1397311,2021-05-26,15,0,241,46,2,Kärnten,15,46,0.0
4202,8809015,2021-05-26,69,49,271,86,3,Niederösterreich,118,135,36.3
4203,5482943,2021-05-26,45,34,305,69,4,Oberösterreich,79,103,33.0
4204,2105841,2021-05-26,14,11,112,41,5,Salzburg,25,52,21.2
4205,4832028,2021-05-26,62,15,445,82,6,Steiermark,77,97,15.5
4206,4065841,2021-05-26,19,23,205,25,7,Tirol,42,48,47.9
4207,2588098,2021-05-26,13,6,129,62,8,Vorarlberg,19,68,8.8
4208,8979797,2021-05-26,104,52,673,312,9,Wien,156,364,14.3
4209,39914510,2021-05-26,349,198,2536,750,10,Alle,547,948,20.9
4210,1665407,2021-05-27,10,11,152,24,1,Burgenland,21,35,31.4
4211,1465110,2021-05-27,11,0,247,48,2,Kärnten,11,48,0.0
4212,8870648,2021-05-27,67,48,273,87,3,Niederösterreich,115,135,35.6
4213,5563074,2021-05-27,41,32,309,71,4,Oberösterreich,73,103,31.1
4214,2122292,2021-05-27,17,9,109,42,5,Salzburg,26,51,17.6
4215,4904697,2021-05-27,62,9,443,87,6,Steiermark,71,96,9.4
4216,4142109,2021-05-27,19,21,183,27,7,Tirol,40,48,43.8
4217,2603856,2021-05-27,9,6,133,62,8,Vorarlberg,15,68,8.8
4218,9119645,2021-05-27,82,56,695,308,9,Wien,138,364,15.4
4219,40456838,2021-05-27,318,192,2544,756,10,Alle,510,948,20.3
4220,1681489,2021-05-28,9,12,149,24,1,Burgenland,21,36,33.3
4221,1465132,2021-05-28,10,0,235,48,2,Kärnten,10,48,0.0
4222,8927523,2021-05-28,62,44,278,82,3,Niederösterreich,106,126,34.9
4223,5592840,2021-05-28,34,31,216,72,4,Oberösterreich,65,103,30.1
4224,2137210,2021-05-28,15,8,115,44,5,Salzburg,23,52,15.4
4225,4973341,2021-05-28,50,7,454,90,6,Steiermark,57,97,7.2
4226,4155773,2021-05-28,16,19,190,27,7,Tirol,35,46,41.3
4227,2619597,2021-05-28,6,6,136,61,8,Vorarlberg,12,67,9.0
4228,9236221,2021-05-28,83,44,694,320,9,Wien,127,364,12.1
4229,40789126,2021-05-28,285,171,2467,768,10,Alle,456,939,18.2
4230,1704353,2021-05-29,10,12,93,23,1,Burgenland,22,35,34.3
4231,1466702,2021-05-29,9,0,236,48,2,Kärnten,9,48,0.0
4232,9006552,2021-05-29,60,44,280,96,3,Niederösterreich,104,140,31.4
4233,5638147,2021-05-29,30,32,220,71,4,Oberösterreich,62,103,31.1
4234,2181257,2021-05-29,16,7,114,45,5,Salzburg,23,52,13.5
4235,5063656,2021-05-29,43,7,484,90,6,Steiermark,50,97,7.2
4236,4173329,2021-05-29,16,15,189,33,7,Tirol,31,48,31.2
4237,2645775,2021-05-29,7,5,135,63,8,Vorarlberg,12,68,7.4
4238,9344468,2021-05-29,82,41,695,323,9,Wien,123,364,11.3
4239,41224239,2021-05-29,273,163,2446,792,10,Alle,436,955,17.1
4240,1718043,2021-05-30,9,11,95,24,1,Burgenland,20,35,31.4
4241,1466953,2021-05-30,11,0,234,48,2,Kärnten,11,48,0.0
4242,9066796,2021-05-30,52,41,288,108,3,Niederösterreich,93,149,27.5
4243,5638796,2021-05-30,31,31,219,72,4,Oberösterreich,62,103,30.1
4244,2222303,2021-05-30,17,7,112,45,5,Salzburg,24,52,13.5
4245,5132802,2021-05-30,43,6,484,90,6,Steiermark,49,96,6.2
4246,4188903,2021-05-30,18,15,184,33,7,Tirol,33,48,31.2
4247,2660255,2021-05-30,9,4,133,63,8,Vorarlberg,13,67,6.0
4248,9468873,2021-05-30,74,34,703,330,9,Wien,108,364,9.3
4249,41563724,2021-05-30,264,149,2452,813,10,Alle,413,962,15.5
4250,1727866,2021-05-31,10,10,97,25,1,Burgenland,20,35,28.6
4251,1467424,2021-05-31,11,0,239,50,2,Kärnten,11,50,0.0
4252,9104097,2021-05-31,55,41,285,118,3,Niederösterreich,96,159,25.8
4253,5639735,2021-05-31,32,32,218,71,4,Oberösterreich,64,103,31.1
4254,2248912,2021-05-31,16,7,107,45,5,Salzburg,23,52,13.5
4255,5179808,2021-05-31,38,6,473,90,6,Steiermark,44,96,6.2
4256,4206311,2021-05-31,17,15,182,32,7,Tirol,32,47,31.9
4257,2666184,2021-05-31,9,5,133,63,8,Vorarlberg,14,68,7.4
4258,9535872,2021-05-31,70,36,707,328,9,Wien,106,364,9.9
4259,41776209,2021-05-31,258,152,2441,822,10,Alle,410,974,15.6
4260,1743240,2021-06-01,11,9,118,26,1,Burgenland,20,35,25.7
4261,1467836,2021-06-01,29,8,220,50,2,Kärnten,37,58,13.8
4262,9165500,2021-06-01,46,37,294,111,3,Niederösterreich,83,148,25.0
4263,5648327,2021-06-01,33,27,217,76,4,Oberösterreich,60,103,26.2
4264,2292718,2021-06-01,18,7,105,45,5,Salzburg,25,52,13.5
4265,5254136,2021-06-01,38,6,473,90,6,Steiermark,44,96,6.2
4266,4220340,2021-06-01,15,16,178,33,7,Tirol,31,49,32.7
