,TestGesamt,MeldeDatum,FZHosp,FZICU,FZHospFree,FZICUFree,BundeslandID,Bundesland,Hospitalizations_total,ICU_capacity,ICU_perc
74,10605,2020-04-08,69,21,1454,94,5,Salzburg,90,115,18.3
75,12184,2020-04-08,143,33,2915,155,6,Steiermark,176,188,17.6
76,26141,2020-04-08,132,65,758,113,7,Tirol,197,178,36.5
77,5391,2020-04-08,29,11,492,28,8,Vorarlberg,40,39,28.2
78,24869,2020-04-08,153,35,3575,295,9,Wien,188,330,10.6
79,120755,2020-04-08,829,267,18557,988,10,Alle,1096,1255,21.3
80,1667,2020-04-09,11,4,567,12,1,Burgenland,15,16,25.0
81,5573,2020-04-09,19,13,728,86,2,Kärnten,32,99,13.1
82,13457,2020-04-09,154,54,3659,116,3,Niederösterreich,208,170,31.8
83,22839,2020-04-09,117,29,4327,104,4,Oberösterreich,146,133,21.8
84,11101,2020-04-09,75,19,1448,92,5,Salzburg,94,111,17.1
85,12753,2020-04-09,141,31,2768,144,6,Steiermark,172,175,17.7
86,27174,2020-04-09,123,65,747,104,7,Tirol,188,169,38.5
87,5609,2020-04-09,29,11,492,81,8,Vorarlberg,40,92,12.0
88,26114,2020-04-09,151,40,3664,269,9,Wien,191,309,12.9
89,126287,2020-04-09,820,266,18400,1008,10,Alle,1086,1274,20.9
90,1736,2020-04-10,8,4,648,13,1,Burgenland,12,17,23.5
91,5891,2020-04-10,18,12,730,84,2,Kärnten,30,96,12.5
92,14061,2020-04-10,152,53,3616,117,3,Niederösterreich,205,170,31.2
93,23638,2020-04-10,92,28,4406,97,4,Oberösterreich,120,125,22.4
94,11521,2020-04-10,74,19,1449,92,5,Salzburg,93,111,17.1
95,13390,2020-04-10,131,32,2782,141,6,Steiermark,163,173,18.5
96,30904,2020-04-10,122,61,712,95,7,Tirol,183,156,39.1
97,5958,2020-04-10,27,11,494,80,8,Vorarlberg,38,91,12.1
98,27644,2020-04-10,147,41,3681,268,9,Wien,188,309,13.3
99,134743,2020-04-10,771,261,18518,987,10,Alle,1032,1248,20.9
100,1768,2020-04-11,11,3,573,12,1,Burgenland,14,15,20.0
101,6082,2020-04-11,19,10,729,83,2,Kärnten,29,93,10.8
102,14544,2020-04-11,194,42,3616,117,3,Niederösterreich,236,159,26.4
103,24818,2020-04-11,87,29,4718,97,4,Oberösterreich,116,126,23.0
104,11864,2020-04-11,70,18,1453,93,5,Salzburg,88,111,16.2
105,13954,2020-04-11,116,33,2800,127,6,Steiermark,149,160,20.6
106,32951,2020-04-11,116,63,692,91,7,Tirol,179,154,40.9
107,6082,2020-04-11,27,10,495,27,8,Vorarlberg,37,37,27.0
108,28912,2020-04-11,150,37,3838,223,9,Wien,187,260,14.2
109,140975,2020-04-11,790,245,18914,870,10,Alle,1035,1115,22.0
110,1799,2020-04-12,14,3,577,13,1,Burgenland,17,16,18.8
111,6156,2020-04-12,17,10,726,84,2,Kärnten,27,94,10.6
112,15267,2020-04-12,189,42,3616,117,3,Niederösterreich,231,159,26.4
113,25257,2020-04-12,86,29,4837,105,4,Oberösterreich,115,134,21.6
114,12215,2020-04-12,68,21,1455,90,5,Salzburg,89,111,18.9
115,14430,2020-04-12,122,32,2939,139,6,Steiermark,154,171,18.7
116,33473,2020-04-12,113,61,422,99,7,Tirol,174,160,38.1
117,6355,2020-04-12,27,10,495,27,8,Vorarlberg,37,37,27.0
118,29925,2020-04-12,156,35,3673,206,9,Wien,191,241,14.5
119,144877,2020-04-12,792,243,18740,880,10,Alle,1035,1123,21.6
120,1823,2020-04-13,9,3,551,13,1,Burgenland,12,16,18.8
121,6250,2020-04-13,17,10,719,88,2,Kärnten,27,98,10.2
122,15483,2020-04-13,192,42,4104,146,3,Niederösterreich,234,188,22.3
123,25482,2020-04-13,84,32,4787,99,4,Oberösterreich,116,131,24.4
124,12450,2020-04-13,71,20,1452,91,5,Salzburg,91,111,18.0
125,14994,2020-04-13,115,31,2963,141,6,Steiermark,146,172,18.0
126,35005,2020-04-13,103,57,434,103,7,Tirol,160,160,35.6
127,6464,2020-04-13,22,10,500,83,8,Vorarlberg,32,93,10.8
128,30461,2020-04-13,129,34,3876,224,9,Wien,163,258,13.2
129,148412,2020-04-13,742,239,19386,988,10,Alle,981,1227,19.5
130,1849,2020-04-14,11,4,534,11,1,Burgenland,15,15,26.7
131,6365,2020-04-14,16,8,728,79,2,Kärnten,24,87,9.2
132,15860,2020-04-14,193,43,4156,147,3,Niederösterreich,236,190,22.6
133,26023,2020-04-14,86,30,4520,99,4,Oberösterreich,116,129,23.3
134,12590,2020-04-14,81,20,1442,91,5,Salzburg,101,111,18.0
135,15558,2020-04-14,113,28,2861,144,6,Steiermark,141,172,16.3
136,35629,2020-04-14,104,56,440,107,7,Tirol,160,163,34.4
137,6531,2020-04-14,23,10,499,83,8,Vorarlberg,33,93,10.8
138,31391,2020-04-14,132,44,3868,221,9,Wien,176,265,16.6
139,151796,2020-04-14,759,243,19048,982,10,Alle,1002,1225,19.8
140,1938,2020-04-15,16,4,547,12,1,Burgenland,20,16,25.0
141,6549,2020-04-15,15,10,733,82,2,Kärnten,25,92,10.9
142,16188,2020-04-15,193,42,4156,147,3,Niederösterreich,235,189,22.2
143,26579,2020-04-15,87,30,4153,104,4,Oberösterreich,117,134,22.4
144,12837,2020-04-15,78,19,1445,92,5,Salzburg,97,111,17.1
145,16225,2020-04-15,118,24,2655,135,6,Steiermark,142,159,15.1
146,37091,2020-04-15,109,55,423,102,7,Tirol,164,157,35.0
147,6734,2020-04-15,23,10,499,31,8,Vorarlberg,33,41,24.4
148,32660,2020-04-15,130,38,3782,225,9,Wien,168,263,14.4
149,156801,2020-04-15,769,232,18393,930,10,Alle,1001,1162,20.0
150,2020,2020-04-16,13,4,493,18,1,Burgenland,17,22,18.2
151,6887,2020-04-16,13,10,737,87,2,Kärnten,23,97,10.3
152,17410,2020-04-16,190,46,3896,137,3,Niederösterreich,236,183,25.1
153,27453,2020-04-16,78,31,4025,104,4,Oberösterreich,109,135,23.0
154,13288,2020-04-16,73,15,1450,96,5,Salzburg,88,111,13.5
155,16996,2020-04-16,120,21,2545,135,6,Steiermark,141,156,13.5
156,38388,2020-04-16,90,54,401,94,7,Tirol,144,148,36.5
157,6767,2020-04-16,18,11,503,25,8,Vorarlberg,29,36,30.6
158,33607,2020-04-16,134,46,3727,217,9,Wien,180,263,17.5
159,162816,2020-04-16,729,238,17777,913,10,Alle,967,1151,20.7
160,2209,2020-04-17,13,5,492,15,1,Burgenland,18,20,25.0
161,6956,2020-04-17,10,8,727,87,2,Kärnten,18,95,8.4
162,18269,2020-04-17,179,40,3896,137,3,Niederösterreich,219,177,22.6
163,27858,2020-04-17,71,30,3936,108,4,Oberösterreich,101,138,21.7
164,13659,2020-04-17,77,19,1446,92,5,Salzburg,96,111,17.1
165,17998,2020-04-17,112,22,2510,147,6,Steiermark,134,169,13.0
166,39722,2020-04-17,81,54,357,82,7,Tirol,135,136,39.7
167,6998,2020-04-17,13,10,509,77,8,Vorarlberg,23,87,11.5
168,35603,2020-04-17,126,39,3671,223,9,Wien,165,262,14.9
169,169272,2020-04-17,682,227,17544,968,10,Alle,909,1195,19.0
170,2301,2020-04-18,12,5,486,15,1,Burgenland,17,20,25.0
171,7156,2020-04-18,7,9,739,85,2,Kärnten,16,94,9.6
172,18831,2020-04-18,166,41,3896,137,3,Niederösterreich,207,178,23.0
173,29190,2020-04-18,72,25,4268,97,4,Oberösterreich,97,122,20.5
174,14085,2020-04-18,74,17,1449,94,5,Salzburg,91,111,15.3
175,19036,2020-04-18,98,20,2537,146,6,Steiermark,118,166,12.0
176,40884,2020-04-18,74,51,350,83,7,Tirol,125,134,38.1
177,7193,2020-04-18,15,8,509,79,8,Vorarlberg,23,87,9.2
178,37256,2020-04-18,129,32,3731,215,9,Wien,161,247,13.0
179,175932,2020-04-18,647,208,17965,951,10,Alle,855,1159,17.9
180,2357,2020-04-19,11,5,479,19,1,Burgenland,16,24,20.8
181,7269,2020-04-19,6,9,727,82,2,Kärnten,15,91,9.9
182,19112,2020-04-19,156,40,3896,137,3,Niederösterreich,196,177,22.6
183,29696,2020-04-19,66,29,4353,95,4,Oberösterreich,95,124,23.4
184,14386,2020-04-19,72,16,1451,125,5,Salzburg,88,141,11.3
185,19749,2020-04-19,99,18,2716,164,6,Steiermark,117,182,9.9
186,42019,2020-04-19,63,49,370,81,7,Tirol,112,130,37.7
187,7400,2020-04-19,12,7,513,24,8,Vorarlberg,19,31,22.6
188,37256,2020-04-19,128,31,3716,310,9,Wien,159,341,9.1
189,179244,2020-04-19,613,204,18221,1037,10,Alle,817,1241,16.4
190,2386,2020-04-20,12,4,468,18,1,Burgenland,16,22,18.2
191,7624,2020-04-20,6,9,739,79,2,Kärnten,15,88,10.2
192,19588,2020-04-20,156,37,3896,137,3,Niederösterreich,193,174,21.3
193,30373,2020-04-20,63,27,4188,93,4,Oberösterreich,90,120,22.5
194,14691,2020-04-20,75,17,1452,124,5,Salzburg,92,141,12.1
195,20098,2020-04-20,91,17,2683,144,6,Steiermark,108,161,10.6
196,42813,2020-04-20,70,44,349,87,7,Tirol,114,131,33.6
197,7626,2020-04-20,11,7,514,27,8,Vorarlberg,18,34,20.6
198,37750,2020-04-20,127,32,3794,248,9,Wien,159,280,11.4
199,182949,2020-04-20,611,194,18083,957,10,Alle,805,1151,16.9
200,2534,2020-04-21,13,4,472,16,1,Burgenland,17,20,20.0
201,7914,2020-04-21,8,9,717,81,2,Kärnten,17,90,10.0
202,20218,2020-04-21,109,42,3696,128,3,Niederösterreich,151,170,24.7
203,31046,2020-04-21,60,30,3809,90,4,Oberösterreich,90,120,25.0
204,14944,2020-04-21,79,15,1448,126,5,Salzburg,94,141,10.6
205,20792,2020-04-21,86,17,2469,140,6,Steiermark,103,157,10.8
206,43731,2020-04-21,67,44,353,96,7,Tirol,111,140,31.4
207,7959,2020-04-21,11,6,250,83,8,Vorarlberg,17,89,6.7
208,39880,2020-04-21,127,29,3415,225,9,Wien,156,254,11.4
209,189018,2020-04-21,560,196,16629,985,10,Alle,756,1181,16.6
210,2660,2020-04-22,10,2,461,16,1,Burgenland,12,18,11.1
211,8269,2020-04-22,7,7,720,75,2,Kärnten,14,82,8.5
212,20980,2020-04-22,98,43,3278,129,3,Niederösterreich,141,172,25.0
213,31933,2020-04-22,59,20,3698,88,4,Oberösterreich,79,108,18.5
214,15447,2020-04-22,92,13,1435,128,5,Salzburg,105,141,9.2
215,21678,2020-04-22,81,14,2398,140,6,Steiermark,95,154,9.1
216,44902,2020-04-22,56,40,302,97,7,Tirol,96,137,29.2
217,8384,2020-04-22,11,7,249,81,8,Vorarlberg,18,88,8.0
218,47541,2020-04-22,110,30,3433,321,9,Wien,140,351,8.5
219,201794,2020-04-22,524,176,15974,1075,10,Alle,700,1251,14.1
220,3006,2020-04-23,13,4,451,17,1,Burgenland,17,21,19.0
221,8528,2020-04-23,7,7,718,90,2,Kärnten,14,97,7.2
222,21969,2020-04-23,88,43,3157,132,3,Niederösterreich,131,175,24.6
223,33100,2020-04-23,60,18,3658,89,4,Oberösterreich,78,107,16.8
224,15969,2020-04-23,78,14,1527,141,5,Salzburg,92,155,9.0
225,22738,2020-04-23,83,16,2364,143,6,Steiermark,99,159,10.1
226,46349,2020-04-23,53,38,318,96,7,Tirol,91,134,28.4
227,8656,2020-04-23,10,6,251,27,8,Vorarlberg,16,33,18.2
228,45520,2020-04-23,116,23,3373,250,9,Wien,139,273,8.4
229,205835,2020-04-23,508,169,15817,985,10,Alle,677,1154,14.6
230,3568,2020-04-24,12,2,433,18,1,Burgenland,14,20,10.0
231,8755,2020-04-24,7,7,717,82,2,Kärnten,14,89,7.9
232,22572,2020-04-24,87,40,3184,133,3,Niederösterreich,127,173,23.1
233,34014,2020-04-24,63,15,3640,97,4,Oberösterreich,78,112,13.4
234,16674,2020-04-24,78,12,1449,129,5,Salzburg,90,141,8.5
235,23673,2020-04-24,75,13,2386,132,6,Steiermark,88,145,9.0
236,47235,2020-04-24,45,36,317,100,7,Tirol,81,136,26.5
237,8989,2020-04-24,8,6,253,27,8,Vorarlberg,14,33,18.2
238,47206,2020-04-24,120,25,3489,339,9,Wien,145,364,6.9
239,212686,2020-04-24,495,156,15868,1057,10,Alle,651,1213,12.9
240,4155,2020-04-25,10,2,463,19,1,Burgenland,12,21,9.5
241,8947,2020-04-25,6,7,725,75,2,Kärnten,13,82,8.5
242,24800,2020-04-25,77,37,3207,133,3,Niederösterreich,114,170,21.8
243,34849,2020-04-25,56,15,3941,98,4,Oberösterreich,71,113,13.3
244,17293,2020-04-25,71,12,1456,129,5,Salzburg,83,141,8.5
245,24949,2020-04-25,65,12,2416,135,6,Steiermark,77,147,8.2
246,48093,2020-04-25,43,34,335,90,7,Tirol,77,124,27.4
247,9396,2020-04-25,6,6,255,26,8,Vorarlberg,12,32,18.8
248,48607,2020-04-25,126,23,3536,347,9,Wien,149,370,6.2
249,221089,2020-04-25,460,148,16334,1052,10,Alle,608,1200,12.3
250,4167,2020-04-26,9,2,477,17,1,Burgenland,11,19,10.5
251,9036,2020-04-26,6,6,717,81,2,Kärnten,12,87,6.9
252,25849,2020-04-26,81,39,3178,131,3,Niederösterreich,120,170,22.9
253,35501,2020-04-26,53,14,3994,105,4,Oberösterreich,67,119,11.8
254,18171,2020-04-26,68,11,1459,130,5,Salzburg,79,141,7.8
255,25666,2020-04-26,64,12,2612,125,6,Steiermark,76,137,8.8
256,48412,2020-04-26,43,32,304,94,7,Tirol,75,126,25.4
257,9856,2020-04-26,6,6,255,26,8,Vorarlberg,12,32,18.8
258,50973,2020-04-26,119,23,3645,363,9,Wien,142,386,6.0
259,227631,2020-04-26,449,145,16641,1072,10,Alle,594,1217,11.9
260,4232,2020-04-27,11,2,461,15,1,Burgenland,13,17,11.8
261,9119,2020-04-27,6,6,715,76,2,Kärnten,12,82,7.3
262,27250,2020-04-27,76,37,3505,133,3,Niederösterreich,113,170,21.8
263,36230,2020-04-27,55,11,3779,114,4,Oberösterreich,66,125,8.8
264,18883,2020-04-27,63,11,1464,130,5,Salzburg,74,141,7.8
265,26126,2020-04-27,63,12,2541,134,6,Steiermark,75,146,8.2
266,48674,2020-04-27,41,33,305,97,7,Tirol,74,130,25.4
267,10219,2020-04-27,6,5,256,25,8,Vorarlberg,11,30,16.7
268,51804,2020-04-27,118,23,3637,349,9,Wien,141,372,6.2
269,232537,2020-04-27,439,140,16663,1073,10,Alle,579,1213,11.5
270,5302,2020-04-28,8,3,457,14,1,Burgenland,11,17,17.6
271,9471,2020-04-28,5,6,728,86,2,Kärnten,11,92,6.5
272,28534,2020-04-28,75,35,3540,135,3,Niederösterreich,110,170,20.6
273,37146,2020-04-28,46,14,3535,90,4,Oberösterreich,60,104,13.5
274,19348,2020-04-28,65,10,1462,131,5,Salzburg,75,141,7.1
275,26908,2020-04-28,64,10,2349,137,6,Steiermark,74,147,6.8
276,49393,2020-04-28,40,32,294,98,7,Tirol,72,130,24.6
277,10362,2020-04-28,6,5,256,24,8,Vorarlberg,11,29,17.2
278,53114,2020-04-28,116,21,3443,340,9,Wien,137,361,5.8
279,239578,2020-04-28,425,136,16064,1055,10,Alle,561,1191,11.4
280,5971,2020-04-29,6,2,435,14,1,Burgenland,8,16,12.5
281,9648,2020-04-29,5,5,725,82,2,Kärnten,10,87,5.7
282,29741,2020-04-29,68,36,3056,134,3,Niederösterreich,104,170,21.2
283,38144,2020-04-29,39,12,3413,92,4,Oberösterreich,51,104,11.5
284,20210,2020-04-29,63,10,1464,131,5,Salzburg,73,141,7.1
285,27813,2020-04-29,57,12,2301,133,6,Steiermark,69,145,8.3
286,50269,2020-04-29,34,28,317,91,7,Tirol,62,119,23.5
287,10811,2020-04-29,4,5,258,24,8,Vorarlberg,9,29,17.2
288,55147,2020-04-29,110,21,3289,317,9,Wien,131,338,6.2
289,247754,2020-04-29,386,131,15258,1018,10,Alle,517,1149,11.4
290,6619,2020-04-30,7,2,432,15,1,Burgenland,9,17,11.8
291,9904,2020-04-30,3,5,730,89,2,Kärnten,8,94,5.3
292,31034,2020-04-30,66,36,2952,134,3,Niederösterreich,102,170,21.2
293,39188,2020-04-30,33,12,3499,94,4,Oberösterreich,45,106,11.3
294,21585,2020-04-30,64,9,1463,132,5,Salzburg,73,141,6.4
295,28844,2020-04-30,57,10,2240,124,6,Steiermark,67,134,7.5
296,51310,2020-04-30,32,28,315,97,7,Tirol,60,125,22.4
297,11165,2020-04-30,2,5,260,23,8,Vorarlberg,7,28,17.9
298,56750,2020-04-30,108,21,3190,304,9,Wien,129,325,6.5
299,256399,2020-04-30,372,128,15081,1012,10,Alle,500,1140,11.2
300,6959,2020-05-01,6,2,463,12,1,Burgenland,8,14,14.3
301,10152,2020-05-01,3,5,727,87,2,Kärnten,8,92,5.4
302,31930,2020-05-01,62,37,2950,133,3,Niederösterreich,99,170,21.8
303,40001,2020-05-01,34,10,3884,87,4,Oberösterreich,44,97,10.3
304,22422,2020-05-01,62,7,1465,134,5,Salzburg,69,141,5.0
305,29979,2020-05-01,51,10,2215,126,6,Steiermark,61,136,7.4
306,52504,2020-05-01,25,27,321,79,7,Tirol,52,106,25.5
307,11719,2020-05-01,3,4,260,19,8,Vorarlberg,7,23,17.4
308,58413,2020-05-01,102,22,3918,331,9,Wien,124,353,6.2
309,264079,2020-05-01,348,124,16203,1008,10,Alle,472,1132,11.0
310,7426,2020-05-02,6,2,475,12,1,Burgenland,8,14,14.3
311,10302,2020-05-02,3,4,725,81,2,Kärnten,7,85,4.7
312,32438,2020-05-02,55,35,2990,135,3,Niederösterreich,90,170,20.6
313,40747,2020-05-02,34,8,4094,103,4,Oberösterreich,42,111,7.2
314,23075,2020-05-02,45,7,1482,134,5,Salzburg,52,141,5.0
315,30866,2020-05-02,43,9,2450,131,6,Steiermark,52,140,6.4
316,52934,2020-05-02,24,24,253,83,7,Tirol,48,107,22.4
317,12374,2020-05-02,3,4,260,24,8,Vorarlberg,7,28,14.3
318,59457,2020-05-02,101,21,4085,343,9,Wien,122,364,5.8
319,269619,2020-05-02,314,114,16814,1046,10,Alle,428,1160,9.8
320,7529,2020-05-03,3,1,470,15,1,Burgenland,4,16,6.2
321,10519,2020-05-03,3,3,729,83,2,Kärnten,6,86,3.5
322,32815,2020-05-03,51,34,3456,136,3,Niederösterreich,85,170,20.0
323,41188,2020-05-03,39,9,4138,97,4,Oberösterreich,48,106,8.5
324,24102,2020-05-03,44,7,1483,134,5,Salzburg,51,141,5.0
325,31215,2020-05-03,38,9,2522,137,6,Steiermark,47,146,6.2
326,53261,2020-05-03,25,25,249,90,7,Tirol,50,115,21.7
327,12783,2020-05-03,3,4,260,27,8,Vorarlberg,7,31,12.9
328,60943,2020-05-03,102,22,3785,336,9,Wien,124,358,6.1
329,274355,2020-05-03,308,114,17092,1055,10,Alle,422,1169,9.8
330,7637,2020-05-04,2,1,456,18,1,Burgenland,3,19,5.3
331,10837,2020-05-04,3,3,715,87,2,Kärnten,6,90,3.3
332,33646,2020-05-04,51,35,3539,135,3,Niederösterreich,86,170,20.6
333,41843,2020-05-04,32,8,3827,102,4,Oberösterreich,40,110,7.3
334,24613,2020-05-04,53,7,1474,134,5,Salzburg,60,141,5.0
335,31579,2020-05-04,34,9,2455,130,6,Steiermark,43,139,6.5
336,53512,2020-05-04,24,25,255,90,7,Tirol,49,115,21.7
337,13040,2020-05-04,3,4,260,27,8,Vorarlberg,7,31,12.9
338,62364,2020-05-04,107,19,3998,333,9,Wien,126,352,5.4
339,279071,2020-05-04,309,111,16979,1056,10,Alle,420,1167,9.5
340,7795,2020-05-05,5,1,442,15,1,Burgenland,6,16,6.2
341,11029,2020-05-05,3,2,718,90,2,Kärnten,5,92,2.2
342,34690,2020-05-05,53,33,3445,137,3,Niederösterreich,86,170,19.4
343,42706,2020-05-05,33,7,3248,95,4,Oberösterreich,40,102,6.9
344,25216,2020-05-05,46,7,1481,134,5,Salzburg,53,141,5.0
345,32158,2020-05-05,32,9,2192,122,6,Steiermark,41,131,6.9
346,54720,2020-05-05,22,21,252,96,7,Tirol,43,117,17.9
347,13156,2020-05-05,4,4,259,28,8,Vorarlberg,8,32,12.5
348,64413,2020-05-05,116,20,3603,325,9,Wien,136,345,5.8
349,285883,2020-05-05,314,104,15640,1042,10,Alle,418,1146,9.1
350,7847,2020-05-06,4,1,418,12,1,Burgenland,5,13,7.7
351,11483,2020-05-06,2,3,727,85,2,Kärnten,5,88,3.4
352,35997,2020-05-06,55,29,2926,141,3,Niederösterreich,84,170,17.1
353,43698,2020-05-06,30,6,3067,96,4,Oberösterreich,36,102,5.9
354,24790,2020-05-06,52,7,1272,134,5,Salzburg,59,141,5.0
355,33003,2020-05-06,32,8,2042,109,6,Steiermark,40,117,6.8
356,55574,2020-05-06,18,19,240,90,7,Tirol,37,109,17.4
357,13324,2020-05-06,3,4,260,22,8,Vorarlberg,7,26,15.4
358,66538,2020-05-06,125,20,3335,315,9,Wien,145,335,6.0
359,292254,2020-05-06,321,97,14287,1004,10,Alle,418,1101,8.8
360,8078,2020-05-07,3,1,427,17,1,Burgenland,4,18,5.6
361,11647,2020-05-07,2,3,731,85,2,Kärnten,5,88,3.4
362,37010,2020-05-07,48,28,2807,142,3,Niederösterreich,76,170,16.5
363,44417,2020-05-07,25,7,3108,88,4,Oberösterreich,32,95,7.4
364,25320,2020-05-07,51,7,1273,134,5,Salzburg,58,141,5.0
365,33702,2020-05-07,31,7,1983,120,6,Steiermark,38,127,5.5
366,56188,2020-05-07,13,17,243,92,7,Tirol,30,109,15.6
367,13794,2020-05-07,3,3,260,21,8,Vorarlberg,6,24,12.5
368,67738,2020-05-07,92,19,3233,311,9,Wien,111,330,5.8
369,297894,2020-05-07,268,92,14065,1010,10,Alle,360,1102,8.3
370,8145,2020-05-08,6,0,400,16,1,Burgenland,6,16,0.0
371,11980,2020-05-08,1,2,731,79,2,Kärnten,3,81,2.5
372,38048,2020-05-08,45,28,2793,142,3,Niederösterreich,73,170,16.5
373,45271,2020-05-08,24,4,3110,92,4,Oberösterreich,28,96,4.2
374,26080,2020-05-08,43,7,1201,117,5,Salzburg,50,124,5.6
375,34368,2020-05-08,32,6,1975,126,6,Steiermark,38,132,4.5
376,57044,2020-05-08,15,14,236,86,7,Tirol,29,100,14.0
377,14274,2020-05-08,1,2,264,25,8,Vorarlberg,3,27,7.4
378,68859,2020-05-08,91,18,3160,316,9,Wien,109,334,5.4
379,304069,2020-05-08,258,81,13870,999,10,Alle,339,1080,7.5
380,8255,2020-05-09,6,0,449,21,1,Burgenland,6,21,0.0
381,12208,2020-05-09,1,2,731,78,2,Kärnten,3,80,2.5
382,39532,2020-05-09,47,25,2787,145,3,Niederösterreich,72,170,14.7
383,46097,2020-05-09,15,5,3609,99,4,Oberösterreich,20,104,4.8
384,26560,2020-05-09,22,3,1222,121,5,Salzburg,25,124,2.4
385,35200,2020-05-09,26,6,2051,123,6,Steiermark,32,129,4.7
386,58452,2020-05-09,21,18,221,74,7,Tirol,39,92,19.6
387,15160,2020-05-09,1,1,98,25,8,Vorarlberg,2,26,3.8
388,70226,2020-05-09,91,19,3385,341,9,Wien,110,360,5.3
389,311690,2020-05-09,230,79,14553,1027,10,Alle,309,1106,7.1
390,8444,2020-05-10,6,0,465,19,1,Burgenland,6,19,0.0
391,12414,2020-05-10,2,0,727,84,2,Kärnten,2,84,0.0
392,40655,2020-05-10,44,24,2946,146,3,Niederösterreich,68,170,14.1
393,46687,2020-05-10,13,6,3900,86,4,Oberösterreich,19,92,6.5
394,26985,2020-05-10,26,2,1218,122,5,Salzburg,28,124,1.6
395,35795,2020-05-10,21,5,2321,122,6,Steiermark,26,127,3.9
396,58904,2020-05-10,18,15,226,89,7,Tirol,33,104,14.4
397,15886,2020-05-10,1,1,98,25,8,Vorarlberg,2,26,3.8
398,70738,2020-05-10,88,19,3459,342,9,Wien,107,361,5.3
399,316508,2020-05-10,219,72,15360,1035,10,Alle,291,1107,6.5
400,8477,2020-05-11,3,0,430,19,1,Burgenland,3,19,0.0
401,12496,2020-05-11,1,0,730,91,2,Kärnten,1,91,0.0
402,41724,2020-05-11,46,23,3488,147,3,Niederösterreich,69,170,13.5
403,47268,2020-05-11,15,4,3607,93,4,Oberösterreich,19,97,4.1
404,27325,2020-05-11,27,3,1217,121,5,Salzburg,30,124,2.4
405,36089,2020-05-11,20,4,2343,123,6,Steiermark,24,127,3.1
406,59430,2020-05-11,16,13,229,93,7,Tirol,29,106,12.3
407,15886,2020-05-11,1,1,98,25,8,Vorarlberg,2,26,3.8
408,70789,2020-05-11,82,20,3413,340,9,Wien,102,360,5.6
409,319484,2020-05-11,211,68,15555,1052,10,Alle,279,1120,6.1
410,8817,2020-05-12,0,0,432,16,1,Burgenland,0,16,0.0
411,12836,2020-05-12,1,0,725,87,2,Kärnten,1,87,0.0
412,42771,2020-05-12,46,21,3460,149,3,Niederösterreich,67,170,12.4
413,47935,2020-05-12,17,3,3146,92,4,Oberösterreich,20,95,3.2
414,27658,2020-05-12,27,2,1217,122,5,Salzburg,29,124,1.6
415,36535,2020-05-12,18,4,2081,116,6,Steiermark,22,120,3.3
416,61255,2020-05-12,14,12,236,98,7,Tirol,26,110,10.9
417,16146,2020-05-12,1,1,98,25,8,Vorarlberg,2,26,3.8
418,75361,2020-05-12,81,16,3169,312,9,Wien,97,328,4.9
419,329314,2020-05-12,205,59,14564,1017,10,Alle,264,1076,5.5
420,9162,2020-05-13,4,0,411,16,1,Burgenland,4,16,0.0
421,13172,2020-05-13,2,0,721,85,2,Kärnten,2,85,0.0
422,43776,2020-05-13,44,21,2854,149,3,Niederösterreich,65,170,12.4
423,48661,2020-05-13,18,2,3042,87,4,Oberösterreich,20,89,2.2
424,28272,2020-05-13,13,2,1231,122,5,Salzburg,15,124,1.6
425,37421,2020-05-13,14,5,1867,110,6,Steiermark,19,115,4.3
426,62847,2020-05-13,13,9,199,83,7,Tirol,22,92,9.8
427,16463,2020-05-13,0,0,100,26,8,Vorarlberg,0,26,0.0
428,76478,2020-05-13,80,16,3073,301,9,Wien,96,317,5.0
429,336252,2020-05-13,188,55,13498,979,10,Alle,243,1034,5.3
430,9482,2020-05-14,3,0,422,13,1,Burgenland,3,13,0.0
431,13509,2020-05-14,2,0,723,83,2,Kärnten,2,83,0.0
432,44954,2020-05-14,42,20,2661,150,3,Niederösterreich,62,170,11.8
433,49589,2020-05-14,13,1,3087,83,4,Oberösterreich,14,84,1.2
434,28942,2020-05-14,13,2,1231,122,5,Salzburg,15,124,1.6
435,38488,2020-05-14,17,4,1780,119,6,Steiermark,21,123,3.3
436,64061,2020-05-14,12,9,193,81,7,Tirol,21,90,10.0
437,16748,2020-05-14,0,0,100,21,8,Vorarlberg,0,21,0.0
438,78833,2020-05-14,78,18,2871,304,9,Wien,96,322,5.6
439,344606,2020-05-14,180,54,13068,976,10,Alle,234,1030,5.2
440,9635,2020-05-15,4,0,418,15,1,Burgenland,4,15,0.0
441,13750,2020-05-15,2,0,725,80,2,Kärnten,2,80,0.0
442,46257,2020-05-15,40,18,2557,152,3,Niederösterreich,58,170,10.6
443,50523,2020-05-15,13,1,2967,80,4,Oberösterreich,14,81,1.2
444,29600,2020-05-15,10,2,1234,122,5,Salzburg,12,124,1.6
445,39387,2020-05-15,13,4,1752,113,6,Steiermark,17,117,3.4
446,64844,2020-05-15,13,8,192,87,7,Tirol,21,95,8.4
447,17136,2020-05-15,0,0,100,25,8,Vorarlberg,0,25,0.0
448,80219,2020-05-15,70,14,2973,292,9,Wien,84,306,4.6
449,351351,2020-05-15,165,47,12918,966,10,Alle,212,1013,4.6
450,9599,2020-05-16,3,0,442,16,1,Burgenland,3,16,0.0
